plot;stage;stage2;diam;fate;fate2;X_10;Y_10
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;3;Reprodutiva;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;3;Reprodutiva;;
2;1;seed;;3;Reprodutiva;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;3;Reprodutiva;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
